交易日期,交易类型,对方账户,对方户名,借方发生额,贷方发生额,余额,摘要,交易渠道
2025-01-01,转账,6228*00,期初余额,,,9440000,期初,网银
2025-01-05,转账,6228*12,河南鄢陵纺织加工厂,9040000,,400000,付加工费,网银
2025-01-10,转账,6228*34,厦门旻刘纺织加工厂,3280000,,-2880000,付加工费,网银
2025-01-15,转账,6228*56,新疆棉业有限公司,200000,,-3080000,购棉纱,网银
2025-01-20,转账,6228*78,广东化工染料,50000,,-3130000,购染料,网银
2025-01-28,转账,6228*88,中山市自来水公司,8000,,-3138000,水费,网银
2025-02-05,转账,6228*90,中山市仓储服务部,30000,,-3168000,仓库租赁费,网银
2025-02-05,转账,6228*91,广州服装有限公司,,1000000,-2168000,收货款,网银
2025-02-06,转账,6228*91,广州服装有限公司,500000,,-2668000,付货款,网银
2025-02-10,转账,6228*92,东莞制衣厂,,9500000,6832000,收货款,网银
2025-02-15,转账,6228*93,佛山针织机械,120000,,6712000,购设备,网银
2025-02-20,转账,6228*94,广州服装有限公司,,2000000,8712000,收货款,网银
