id,item,level,score,reasons
8,进项发票税号缺失与申报数据不匹配,极高风险,7.0,极高风险但评分低于8
24,文化事业建设费申报计费销售额与增值税申报销售额不匹配,极高风险,4.0,极高风险但评分低于8
35,广宣费支出占销售收入比例与法定扣除限额不匹配,极高风险,6.0,极高风险但评分低于8
36,福利费支出与工资总额及法定扣除限额不一致,极高风险,5.0,极高风险但评分低于8
41,申报数据与账务数据不匹配,极高风险,5.0,极高风险但评分低于8
47,发票开具明细表中客户税号字段与客户档案信息表中税号不匹配,极高风险,7.0,极高风险但评分低于8
57,发票备注栏填写内容与法定必填要求不一致,极高风险,5.0,极高风险但评分低于8
58,红字发票开具记录与红冲证明文件不匹配,极高风险,7.0,极高风险但评分低于8
68,合同审批状态与业务执行数据缺失,极高风险,7.0,极高风险但评分低于8
70,合同约定纳税义务时间与税法规定纳税义务时间不匹配,极高风险,5.0,极高风险但评分低于8
73,合同管理系统中“起草中”合同数量与业务实质履行记录不匹配,极高风险,7.0,极高风险但评分低于8
92,包装费用占主营业务成本比例与行业包装费用率基准不匹配,极高风险,7.0,极高风险但评分低于8
95,差旅付款总额与账面差旅费科目记录不一致,极高风险,7.0,极高风险但评分低于8
142,年终奖个税申报数据与员工综合所得最优应纳税额不匹配,极高风险,5.0,极高风险但评分低于8
149,集群注册地址物理承载能力与申报经营规模不匹配,极高风险,7.0,极高风险但评分低于8
152,合同金额与申报金额与实际交易金额不匹配,极高风险,5.0,极高风险但评分低于8
154,营业外收入违约金与增值税价外费用申报不一致,极高风险,7.0,极高风险但评分低于8
155,房产税免租期申报与租赁合同约定不一致,极高风险,7.0,极高风险但评分低于8
157,合同台账记录合同要素与实际生效变更/补充协议不匹配,极高风险,7.0,极高风险但评分低于8
158,合同约定业务构成与增值税申报收入不匹配,极高风险,7.0,极高风险但评分低于8
168,发票备注栏字段内容与国家税务总局公告规定必填内容不匹配,极高风险,5.0,极高风险但评分低于8
170,申报捐赠支出税前扣除额与法定扣除条件不匹配,极高风险,7.0,极高风险但评分低于8
197,取得专业服务类专票与行业基准专票占比不一致,极高风险,5.0,极高风险但评分低于8
217,发票备注栏字段内容与国家税务总局公告20不匹配,极高风险,5.0,极高风险但评分低于8
224,电子发票接收数量与电子发票电子原件归档数量不匹配,极高风险,7.0,极高风险但评分低于8
290,增值税申报表月度收入与经营连续性规律不匹配,极高风险,7.0,极高风险但评分低于8
303,固定资产台账/折旧计算表中折与税法规定最低折旧年限不匹配,极高风险,7.0,极高风险但评分低于8
307,入账水费对应用水量与按经营规模推算合理用水量不匹配,极高风险,7.0,极高风险但评分低于8
1233,银行流水/现金日记账中‘支付与个税申报系统中‘劳务不匹配,极高风险,7.0,极高风险但评分低于8
1243,制造存货周转天数过长库存,极高风险,7.0,极高风险但评分低于8
1253,专利授权收入对应研发项目清单与高新技术产品收入专项不匹配,极高风险,7.0,极高风险但评分低于8
1254,工资表/劳务费列支临时工薪酬与个税扣缴申报系统中申不匹配,极高风险,7.0,极高风险但评分低于8
1255,增值税申报进项抵扣额与酒店食材损耗台账中非异常,极高风险,7.0,极高风险但评分低于8
1256,申报房产租金收入单价与同地段同类房产市场租金均价不匹配,极高风险,7.0,极高风险但评分低于8
1275,实际支付给退休返聘人员劳务报与向税务机关申报《个人不匹配,极高风险,7.0,极高风险但评分低于8
1318,增值税申报收入与实际应税收入不匹配,极高风险,6.0,极高风险但评分低于8
1361,账面办公用品采购金额与基于员工人数与行业均不匹配,极高风险,7.0,极高风险但评分低于8
1362,申报“管理费用-办公费”金额与员工人数及行业平均耗不匹配,极高风险,7.0,极高风险但评分低于8
1378,银行收款流水与增值税申报收入不匹配,极高风险,7.0,极高风险但评分低于8
1438,增值税进项发票品名与实际经营物资清单不匹配,极高风险,7.0,极高风险但评分低于8
1468,增值税申报购销总额与印花税申报计税基础不匹配,极高风险,6.0,极高风险但评分低于8
1469,固定资产明细账中房产原值与房产税申报计税基础不匹配,极高风险,7.0,极高风险但评分低于8
1470,增值税/消费税实际入库金额与城建税/教育费附加申不匹配,极高风险,7.0,极高风险但评分低于8
1483,研发费用加计扣除申报表中研发与人力资源部门提供研发不匹配,极高风险,7.0,极高风险但评分低于8
1505,账面劳务费支付金额与按税法规定应还原税前劳务收入额不匹配,极高风险,6.0,极高风险但评分低于8
1510,账面“递延收益”科目贷方发生与所得税申报表“政府补不匹配,极高风险,7.0,极高风险但评分低于8
1517,应付账款明细账中挂账超过3年与所得税申报表中营业外异常,极高风险,7.0,极高风险但评分低于8
1520,财务报表中“预计负债”科目余与涉诉信息与产品质量保不匹配,极高风险,7.0,极高风险但评分低于8
1521,所得税申报表中“预计负债”纳与管理费用/销售费用明不匹配,极高风险,7.0,极高风险但评分低于8
1522,申报在职职工人数与残疾人就业保障金申报记录不匹配,极高风险,5.0,极高风险但评分低于8
1523,所得税申报表工会经费扣除额与实际拨缴并取得专用收不匹配,极高风险,5.0,极高风险但评分低于8
1527,增值税申报表各税率栏次销售额与实际经营业务中各税率不匹配,极高风险,7.0,极高风险但评分低于8
